,,,Mortality,,Morbidity,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank
27151,Minnesota,Swift,-0.13,43,-0.31,10,0.06,64,0.00,48,-0.02,51,0.07,81
27153,Minnesota,Todd,0.00,49,0.16,66,0.16,81,0.15,79,0.22,75,-0.01,39
27155,Minnesota,Traverse,1.12,86,0.00,47,0.00,41,0.00,45,-0.12,29,0.06,79
27157,Minnesota,Wabasha,-0.13,42,0.00,46,-0.10,19,-0.13,10,-0.16,22,-0.06,9
27159,Minnesota,Wadena,0.37,71,0.26,73,-0.14,9,0.09,72,0.34,79,0.03,69
27161,Minnesota,Waseca,-0.60,4,-0.16,29,0.04,55,0.05,64,-0.09,36,-0.01,40
27163,Minnesota,Washington,-0.52,9,-0.10,37,-0.17,7,-0.24,2,-0.41,2,-0.01,36
27165,Minnesota,Watonwan,0.45,76,-0.28,15,0.00,42,0.17,82,0.17,69,-0.04,23
27167,Minnesota,Wilkin,0.05,56,-0.29,12,0.01,45,0.03,55,-0.31,6,-0.02,31
27169,Minnesota,Winona,-0.33,24,-0.40,5,0.01,43,0.04,56,-0.14,25,0.02,61
27171,Minnesota,Wright,-0.44,12,-0.15,30,-0.14,11,-0.03,30,-0.29,8,0.01,53
27173,Minnesota,Yellow Medicine,-0.84,1,0.14,62,-0.11,17,-0.01,42,-0.21,18,0.07,82
