,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank
27153,Minnesota,Todd,-0.18,34,-0.07,45,0.09,69,0.30,87,0.07,60,-0.02,28
27155,Minnesota,Traverse,0.00,50,-0.06,46,0.06,61,0.09,70,0.02,51,-0.10,1
27157,Minnesota,Wabasha,-0.52,4,-0.45,8,-0.02,44,-0.14,8,-0.23,13,0.01,54
27159,Minnesota,Wadena,0.93,84,0.37,73,0.13,75,0.16,81,0.30,77,-0.04,20
27161,Minnesota,Waseca,-0.39,15,-0.08,43,-0.03,39,0.01,46,0.06,58,0.02,65
27163,Minnesota,Washington,-0.44,8,-0.56,3,-0.39,1,-0.16,4,-0.42,2,0.06,75
27165,Minnesota,Watonwan,0.34,74,0.20,65,0.07,65,0.04,57,0.17,74,-0.03,23
27167,Minnesota,Wilkin,0.22,70,-0.17,31,-0.02,41,-0.12,9,-0.15,26,-0.05,15
27169,Minnesota,Winona,-0.10,42,0.26,67,-0.02,45,-0.08,22,-0.16,23,0.11,86
27171,Minnesota,Wright,-0.49,6,-0.53,5,-0.09,24,-0.05,30,-0.34,5,0.03,68
27173,Minnesota,Yellow Medicine,-0.07,46,0.10,59,0.07,64,0.01,45,-0.07,36,-0.06,9
